Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
40.311,1.5,1.49,37.65,1.2,0.8,0.2,1
40.404,1.5,1.49,36.86,1.2,0.8,0.2,1
40.513,1.5,1.49,36.86,1.2,0.8,0.2,1
40.607,1.5,1.51,35.69,1.2,0.8,0.2,1
40.701,1.5,1.49,38.04,1.2,0.8,0.2,1
40.81,1.5,1.49,37.25,1.2,0.8,0.2,1
40.903,1.5,1.49,37.25,1.2,0.8,0.2,1
41.013,1.5,1.51,35.69,1.2,0.8,0.2,1
41.106,1.5,1.49,38.04,1.2,0.8,0.2,1
41.215,1.5,1.52,34.51,1.2,0.8,0.2,1
41.309,1.5,1.49,39.22,1.2,0.8,0.2,1
41.403,1.5,1.51,35.69,1.2,0.8,0.2,1
41.512,1.5,1.51,36.47,1.2,0.8,0.2,1
41.605,1.5,1.52,34.9,1.2,0.8,0.2,1
41.715,1.5,1.51,37.25,1.2,0.8,0.2,1
41.808,1.5,1.49,38.04,1.2,0.8,0.2,1
41.902,1.5,1.51,35.29,1.2,0.8,0.2,1
42.011,1.5,1.49,37.65,1.2,0.8,0.2,1
42.105,1.5,1.49,36.86,1.2,0.8,0.2,1
42.214,1.5,1.49,36.86,1.2,0.8,0.2,1
42.307,1.5,1.49,36.86,1.2,0.8,0.2,1
42.401,1.5,1.48,38.43,1.2,0.8,0.2,1
42.51,1.5,1.49,36.08,1.2,0.8,0.2,1
42.604,1.5,1.51,35.69,1.2,0.8,0.2,1
42.713,1.5,1.48,39.22,1.2,0.8,0.2,1
42.807,1.5,1.51,34.51,1.2,0.8,0.2,1
42.916,1.5,1.51,36.47,1.2,0.8,0.2,1
43.009,1.5,1.51,36.47,1.2,0.8,0.2,1
43.103,1.5,1.49,38.04,1.2,0.8,0.2,1
43.212,1.5,1.49,37.25,1.2,0.8,0.2,1
43.306,1.5,1.48,38.82,1.2,0.8,0.2,1
43.415,1.5,1.51,34.9,1.2,0.8,0.2,1
43.509,1.5,1.51,36.86,1.2,0.8,0.2,1
43.602,1.5,1.49,38.04,1.2,0.8,0.2,1
43.711,1.5,1.49,37.25,1.2,0.8,0.2,1
43.805,1.5,1.51,35.69,1.2,0.8,0.2,1
43.914,1.5,1.51,36.86,1.2,0.8,0.2,1
44.008,1.5,1.51,36.47,1.2,0.8,0.2,1
44.101,1,1.49,0,1.2,0.8,0.2,1
44.211,1,1.44,20.78,1.2,0.8,0.2,1
44.304,1,1.37,23.14,1.2,0.8,0.2,1
44.413,1,1.29,24.71,1.2,0.8,0.2,1
44.507,1,1.23,25.88,1.2,0.8,0.2,1
44.601,1,1.19,24.31,1.2,0.8,0.2,1
44.71,1,1.15,24.71,1.2,0.8,0.2,1
44.803,1,1.13,23.14,1.2,0.8,0.2,1
44.913,1,1.12,22.75,1.2,0.8,0.2,1
45.006,1,1.09,24.71,1.2,0.8,0.2,1
45.115,1,1.09,21.96,1.2,0.8,0.2,1
